nb_ville,type_modification_temperature,type_mutation,temperature_initiale,temperature_finale,alpha,amplitude,max_repetition,temperature_fin_exec,cout,temps_execution

30,1,3,3146,0.016,0.91,3,827,0.015,49.26,0.177
30,1,2,3952,0.017,0.893,4,1655,0.016,49.09,0.184
30,1,1,914,0.014,0.906,6,2184,0.013,52.4,0.21
30,1,1,1929,0.012,0.856,7,356,0.01,57.31,0.043
30,1,1,1021,0.018,0.96,4,1290,0.017,52.95,0.287
30,1,2,3261,0.019,0.895,7,895,0.018,55.57,0.124
30,1,2,3048,0.014,0.879,3,1960,0.013,50.41,0.152
30,1,1,1940,0.012,0.979,5,514,0.012,50.41,0.333
30,1,1,3617,0.015,0.874,3,792,0.013,56.04,0.067
30,1,1,1596,0.018,0.855,4,964,0.017,49.45,0.062
30,1,1,1340,0.012,0.899,5,2175,0.011,53.0,0.175
30,1,2,3790,0.01,0.984,5,556,0.01,51.42,0.512
30,1,2,2253,0.017,0.951,4,1080,0.017,49.83,0.245
30,1,2,3912,0.016,0.886,6,796,0.015,53.48,0.093
30,1,1,3101,0.017,0.852,7,1784,0.016,53.17,0.132
30,1,2,1732,0.012,0.885,4,417,0.011,51.13,0.065
30,1,1,1630,0.011,0.954,5,1685,0.011,53.53,0.343
30,1,2,1321,0.017,0.937,3,1434,0.016,51.91,0.203
30,1,2,2098,0.014,0.854,4,1782,0.013,52.82,0.127
30,1,3,3757,0.012,0.976,3,1460,0.012,46.37,1.134
30,1,2,1796,0.013,0.965,5,321,0.013,52.7,0.127
30,1,2,4359,0.017,0.865,6,528,0.017,56.33,0.062
30,1,3,1809,0.017,0.963,5,2256,0.016,49.76,1.283
30,1,1,2586,0.018,0.858,5,2445,0.017,52.98,0.142
30,1,1,4722,0.018,0.852,4,297,0.018,60.83,0.06
30,1,3,2404,0.014,0.95,6,479,0.014,50.77,0.252
30,1,1,4173,0.013,0.988,3,1647,0.013,50.24,1.223
30,1,1,2181,0.014,0.883,5,2287,0.012,47.02,0.159
30,1,2,3677,0.012,0.902,5,1103,0.011,54.84,0.118
30,1,2,3806,0.02,0.995,5,346,0.02,47.53,1.175
30,1,1,4636,0.02,0.954,6,1147,0.019,54.09,0.248
30,1,3,2200,0.02,0.978,5,431,0.02,49.82,0.459
30,1,2,1374,0.018,0.933,7,1404,0.017,51.18,0.208
30,1,1,1334,0.01,0.926,6,2132,0.01,52.11,0.241
30,1,2,3897,0.017,0.931,6,2194,0.017,52.14,0.298
30,1,3,4717,0.019,0.902,7,1716,0.018,49.67,0.441
30,1,2,872,0.019,0.926,7,922,0.018,50.84,0.14
30,1,1,3676,0.019,0.955,7,469,0.018,52.81,0.193
30,1,1,1115,0.013,0.988,4,2171,0.013,46.37,1.394
30,1,3,1918,0.013,0.887,4,1030,0.012,48.67,0.199
30,1,3,906,0.018,0.91,7,443,0.018,52.29,0.135
30,1,3,3482,0.013,0.924,5,217,0.012,55.33,0.117
30,1,1,2541,0.014,0.858,6,939,0.012,55.14,0.066
30,1,2,2903,0.017,0.984,5,754,0.017,48.98,0.587
30,1,2,4426,0.018,0.858,5,1708,0.016,48.8,0.125
30,1,3,1441,0.018,0.937,7,299,0.017,57.17,0.134
30,1,1,1549,0.015,0.966,7,379,0.015,53.17,0.135
30,1,3,3080,0.017,0.853,6,887,0.015,50.72,0.156
30,1,2,3610,0.017,0.912,7,1050,0.016,52.47,0.154
30,1,3,1569,0.018,0.989,7,1088,0.018,46.37,2.374
30,1,2,3827,0.014,0.935,7,2353,0.013,52.3,0.397
30,1,1,1238,0.016,0.894,5,852,0.015,51.58,0.101
